Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
TTO,0,0,0,0,1360,1380,1400,1390,1410,1430,1470,1490,1540,1560,1580,1630,1660,1670,1690,1740,1770,1830,1860,29860
TUN,0,0,0,0,490,480,490,500,500,490,510,540,540,530,550,570,570,580,580,580,590,620,650,10360
TUR,32020,31600,31560,31740,32100,33100,33380,33750,34050,34240,35030,36030,36790,37460,38060,38340,38660,39310,39810,39980,40200,40270,40660,828140
TUV,0,0,0,0,90,110,110,120,120,120,130,140,140,140,140,130,140,150,150,150,160,170,180,2590
TWN,0,0,0,0,19380,21540,21800,22150,22410,24150,25600,26200,26030,25860,25860,26700,28280,30160,31350,33450,38250,47250,55960,552380
TZA,0,0,0,0,1780,1820,1870,1940,1970,1950,1980,2000,2060,2300,2760,3160,3460,3690,3810,3940,4070,4170,4230,52960
UGA,0,0,0,0,1340,1370,1400,1400,1420,1390,1430,1550,1670,1880,2050,2370,2520,2680,2860,3040,3150,3290,3420,40230
UK,0,0,0,0,1139040,1131070,1122730,1113820,1106320,1100250,1092560,1089430,1090760,1093990,1107700,1123880,1140830,1154080,1158740,1165730,1180120,1189530,1187720,21488300
UKR,11970,13280,14690,16220,17560,18350,18100,17530,17050,16660,16580,16530,16620,16800,17010,16790,16630,16430,16360,16280,16240,16280,16370,376330
URY,11350,11200,11070,11000,10990,10850,10770,10660,10570,10490,10520,10600,10670,10790,10940,10880,10830,10720,10630,10540,10480,10400,10390,247340
USA,51580,51250,51860,53590,56050,57630,58400,58850,59690,60780,62890,65350,67510,70520,74670,78930,80730,82200,85330,90080,95630,100250,104080,1617850
UZB,0,0,0,0,350,370,420,470,490,530,570,610,680,760,930,1010,1110,1230,1300,1380,1460,1530,1600,16800
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEN,0,0,0,0,890,1000,1070,1130,1170,1260,1310,1390,1450,1590,1800,2000,2390,2770,3350,3870,4300,4660,4880,42280
VGB,0,0,0,0,10,20,20,10,10,0,10,10,20,20,20,20,20,20,20,20,20,20,20,310
VIR,0,0,0,0,10,10,0,10,10,10,10,10,10,10,20,20,20,20,10,20,20,20,20,260
VNM,131830,138530,145690,152760,158740,161910,163020,163800,163700,163480,166120,169720,171980,174440,178010,182720,189490,197820,203770,207620,211670,218120,223180,4038120
VUT,0,0,0,0,1020,1040,1050,1070,1070,1040,1090,1150,1160,1180,1210,1220,1240,1240,1290,1310,1340,1400,1500,22620
WLF,0,0,0,0,20,20,20,20,20,10,20,20,10,20,20,20,20,30,30,30,30,30,30,420
WSM,0,0,0,0,10660,11390,11770,12620,13080,13950,14910,15410,15960,16620,17170,17800,18570,19650,20440,21820,23770,26140,26980,328710
YEM,0,0,0,0,290,330,350,380,390,400,420,470,520,530,520,530,550,590,590,610,610,630,650,9360
ZAF,56540,56570,57490,59320,61810,66130,69370,74760,80640,86820,95140,101440,108420,114150,119490,127580,138250,150690,155950,161590,168000,173050,176340,2459540
ZMB,0,0,0,0,2980,3110,3210,3310,3460,3510,3790,3990,4240,4540,4890,5280,5710,5970,6170,6350,6550,6770,6870,90700
ZWE,0,0,0,0,10330,10630,10920,11340,12110,13220,15140,17220,19630,21680,23700,26270,29600,32450,33710,34610,35930,37080,37700,433270
Grand Total,17311770,17462420,17629990,17823960,18224980,18423250,18607810,18812520,19028970,19274820,19495360,19720850,19932900,20177020,20451230,20827850,21249520,21691860,22032010,22340260,22728560,23126230,23491000,4.60E+08
